Theta: 1.570700
periodo,theta_Calc,theta_Anali
0.034100,1.561750,1.315226
0.034200,1.561697,1.314498
0.034300,1.561645,1.313770
0.034400,1.561592,1.313042
0.034500,1.561539,1.312315
0.034600,1.561486,1.311587
0.034700,1.561432,1.310859
0.034800,1.561379,1.310132
0.034900,1.561325,1.309405
0.035000,1.561272,1.308678
0.035100,1.561218,1.307951
0.035200,1.561164,1.307224
0.035300,1.561110,1.306497
0.035400,1.561055,1.305770
0.035500,1.561001,1.305044
0.035600,1.560946,1.304317
0.035700,1.560891,1.303591
0.035800,1.560836,1.302865
0.035900,1.560781,1.302139
0.036000,1.560726,1.301413
0.036100,1.560670,1.300687
0.036200,1.560615,1.299961
0.036300,1.560559,1.299236
0.036400,1.560503,1.298510
0.036500,1.560447,1.297785
0.036600,1.560391,1.297060
0.036700,1.560335,1.296335
0.036800,1.560278,1.295610
0.036900,1.560221,1.294885
0.037000,1.560165,1.294160
0.037100,1.560108,1.293436
0.037200,1.560051,1.292711
0.037300,1.559993,1.291987
0.037400,1.559936,1.291263
0.037500,1.559878,1.290538
0.037600,1.559821,1.289814
0.037700,1.559763,1.289091
0.037800,1.559705,1.288367
0.037900,1.559646,1.287643
0.038000,1.559588,1.286920
0.038100,1.559530,1.286196
0.038200,1.559471,1.285473
0.038300,1.559412,1.284750
0.038400,1.559353,1.284027
0.038500,1.559294,1.283304
0.038600,1.559235,1.282581
0.038700,1.559175,1.281858
0.038800,1.559116,1.281136
0.038900,1.559056,1.280414
0.039000,1.558996,1.279691
0.039100,1.558936,1.278969
0.039200,1.558876,1.278247
0.039300,1.558816,1.277525
0.039400,1.558755,1.276803
0.039500,1.558695,1.276082
0.039600,1.558634,1.275360
0.039700,1.558573,1.274639
0.039800,1.558512,1.273917
0.039900,1.558451,1.273196
0.040000,1.558389,1.272475
0.040100,1.558328,1.271754
0.040200,1.558266,1.271033
0.040300,1.558204,1.270312
0.040400,1.558142,1.269592
0.040500,1.558080,1.268871
0.040600,1.558018,1.268151
0.040700,1.557955,1.267431
0.040800,1.557893,1.266711
0.040900,1.557830,1.265991
0.041000,1.557767,1.265271
0.041100,1.557704,1.264551
0.041200,1.557641,1.263831
0.041300,1.557577,1.263112
0.041400,1.557514,1.262393
0.041500,1.557450,1.261673
0.041600,1.557386,1.260954
0.041700,1.557322,1.260235
0.041800,1.557258,1.259516
0.041900,1.557194,1.258797
0.042000,1.557129,1.258079
0.042100,1.557065,1.257360
0.042200,1.557000,1.256642
0.042300,1.556935,1.255923
0.042400,1.556870,1.255205
0.042500,1.556805,1.254487
0.042600,1.556739,1.253769
0.042700,1.556674,1.253051
0.042800,1.556608,1.252334
0.042900,1.556542,1.251616
0.043000,1.556476,1.250899
0.043100,1.556410,1.250181
0.043200,1.556344,1.249464
0.043300,1.556277,1.248747
0.043400,1.556211,1.248030
0.043500,1.556144,1.247313
0.043600,1.556077,1.246597
0.043700,1.556010,1.245880
0.043800,1.555943,1.245163
0.043900,1.555876,1.244447
0.044000,1.555808,1.243731
0.044100,1.555740,1.243015
0.044200,1.555673,1.242299
0.044300,1.555605,1.241583
0.044400,1.555537,1.240867
0.044500,1.555468,1.240151
0.044600,1.555400,1.239436
0.044700,1.555331,1.238720
0.044800,1.555263,1.238005
0.044900,1.555194,1.237290
0.045000,1.555125,1.236575
0.045100,1.555055,1.235860
0.045200,1.554986,1.235145
0.045300,1.554917,1.234431
0.045400,1.554847,1.233716
0.045500,1.554777,1.233002
0.045600,1.554707,1.232287
0.045700,1.554637,1.231573
0.045800,1.554567,1.230859
0.045900,1.554496,1.230145
0.046000,1.554426,1.229431
0.046100,1.554355,1.228717
0.046200,1.554284,1.228004
0.046300,1.554213,1.227290
0.046400,1.554142,1.226577
0.046500,1.554071,1.225864
0.046600,1.553999,1.225151
0.046700,1.553928,1.224438
0.046800,1.553856,1.223725
0.046900,1.553784,1.223012
0.047000,1.553712,1.222299
0.047100,1.553640,1.221587
0.047200,1.553567,1.220875
0.047300,1.553495,1.220162
0.047400,1.553422,1.219450
0.047500,1.553349,1.218738
0.047600,1.553276,1.218026
0.047700,1.553203,1.217314
0.047800,1.553130,1.216603
0.047900,1.553056,1.215891
0.048000,1.552983,1.215180
0.048100,1.552909,1.214468
0.048200,1.552835,1.213757
0.048300,1.552761,1.213046
0.048400,1.552687,1.212335
0.048500,1.552612,1.211624
0.048600,1.552538,1.210914
0.048700,1.552463,1.210203
0.048800,1.552388,1.209493
0.048900,1.552313,1.208782
0.049000,1.552238,1.208072
0.049100,1.552163,1.207362
0.049200,1.552088,1.206652
0.049300,1.552012,1.205942
0.049400,1.551936,1.205232
0.049500,1.551860,1.204523
0.049600,1.551784,1.203813
0.049700,1.551708,1.203104
0.049800,1.551632,1.202394
0.049900,1.551555,1.201685
0.050000,1.551479,1.200976
0.050100,1.551402,1.200267
0.050200,1.551325,1.199559
0.050300,1.551248,1.198850
0.050400,1.551170,1.198141
0.050500,1.551093,1.197433
0.050600,1.551016,1.196725
0.050700,1.550938,1.196016
